,age,all_population,men,women
0,0,119137,61537,57600
1,1,120717,62061,58656
2,2,123023,63456,59567
3,3,120048,62095,57953
4,4,130383,67219,63164
5,5,127998,66767,61231
6,6,131133,67998,63135
7,7,143541,74227,69314
8,8,143166,74153,69013
9,9,139540,72394,67146
10,10,138828,71835,66993
11,11,137970,71744,66226
12,12,131034,67536,63498
13,13,134623,69904,64719
14,14,128919,66150,62769
15,15,117173,59651,57522
16,16,109902,56396,53506
17,17,113909,58367,55542
18,18,123046,62156,60890
19,19,106689,50655,56034
20,20,133479,67111,66368
21,21,140983,74370,66613
22,22,118862,60530,58332
23,23,156751,84378,72373
24,24,144142,76858,67284
25,25,122469,63875,58594
26,26,126647,65338,61309
27,27,145656,73396,72260
28,28,155092,77018,78074
29,29,129959,64679,65280
30,30,131754,64369,67385
31,31,141807,68608,73199
32,32,158231,76772,81459
33,33,219926,108844,111082
34,34,221738,108182,113556
35,35,221520,106491,115029
36,36,231120,111558,119562
37,37,235526,113052,122474
38,38,254354,122329,132025
39,39,221037,106422,114615
40,40,226722,107206,119516
41,41,214072,101752,112320
42,42,201653,95775,105878
43,43,255141,125684,129457
44,44,205718,97615,108103
45,45,202490,97245,105245
46,46,181694,85156,96538
47,47,198218,94951,103267
48,48,202034,96821,105213
49,49,181972,86444,95528
50,50,171411,80778,90633
51,51,174025,81504,92521
52,52,164099,76869,87230
53,53,188616,91239,97377
54,54,163504,77194,86310
55,55,166825,78587,88238
56,56,143230,65769,77461
57,57,148959,68266,80693
58,58,171177,79837,91340
59,59,159741,68205,91536
60,60,180447,77444,103003
61,61,174782,71985,102797
62,62,174846,71044,103802
63,63,201741,84344,117397
64,64,181210,77235,103975
65,65,186262,79754,106508
66,66,166368,69449,96919
67,67,173429,73083,100346
68,68,170609,71467,99142
69,69,156271,63310,92961
70,70,139130,55355,83775
71,71,140818,55384,85434
72,72,128402,48719,79683
73,73,137372,54741,82631
74,74,128969,48001,80968
75,75,109997,40740,69257
76,76,110839,40360,70479
77,77,105595,39092,66503
78,78,76629,29761,46868
79,79,47729,17228,30501
80,80,35500,13189,22311
81,81,45959,15827,30132
82,82,65439,21093,44346
83,83,66266,21651,44615
84,84,67048,20468,46580
85,85,61556,18204,43352
86,86,59170,17355,41815
87,87,37955,11132,26823
88,88,30966,9395,21571
89,89,20961,5990,14971
90,90,17841,4937,12904
91,91,20145,5385,14760
92,92,12971,3402,9569
93,93,11648,3162,8486
94,94,8363,2126,6237
95,95,6538,1570,4968
96,96,5139,1229,3910
97,97,3846,957,2889
98,98,3068,748,2320
99,99,2004,460,1544
100,100,2842,744,2098
